indication,indication_concept_id
ENDOMETRIAL SARCOMA,36617583
ANAL FISTULA,35707792
PANCREATITIS ACUTE,35707714
CYSTIC FIBROSIS HEPATIC DISEASE,35305730
DEPRESSED LEVEL OF CONSCIOUSNESS,36718315
INTESTINAL HAEMORRHAGE,35707858
OOCYTE DONOR,42890519
MANTLE CELL LYMPHOMA REFRACTORY,35104534
HEPATIC ENZYME ABNORMAL,36313583
ASPIRATION BONE MARROW,36312879
ENDOCARDITIS CANDIDA,35205219
BRAIN CONTUSION,36211212
ENDOMETRIAL CANCER,36617575
ANAPHYLAXIS PROPHYLAXIS,37522039
UTERINE HYPOTONUS,36818702
TOLOSA-HUNT SYNDROME,35607295
HYPNOTHERAPY,37521692
BLOOD CORTISOL INCREASED,36312162
MUSCULAR DYSTROPHY,35306045
CONTRACEPTIVE IMPLANT,42890262
RADIOACTIVE IODINE THERAPY,37520817
METABOLIC ALKALOSIS,36416493
WEANING FAILURE,36211744
GENERALISED OEDEMA,35809221
FACTOR V INHIBITION,35104170
PARANASAL SINUS DISCOMFORT,37219956
ACUTE PULMONARY OEDEMA,35205255
SINUS OPERATION,37521313
ADENOCARCINOMA OF APPENDIX,43053818
EAR CONGESTION,35406306
TYPHOID FEVER,35707982
EAR DISORDER,35406308
PARANASAL SINUS HYPERSECRETION,37220034
EPICONDYLITIS,36211255
FURUNCLE,36110664
LIPIDS DECREASED,36314063
CORNEAL DYSTROPHY,35305584
"HALLUCINATION, OLFACTORY",36918987
FIBRILLARY GLOMERULONEPHRITIS,36009877
ENTERITIS,35708066
DIAPHRAGMATIC HERNIA,35707532
METASTASES TO PANCREAS,35708537
BLOOD OESTROGEN INCREASED,36312378
LIGAMENT OPERATION,37520654
TRANSITIONAL CELL CARCINOMA METASTATIC,42890212
VARICOSE VEIN OPERATION,37522372
PHOSPHORUS METABOLISM DISORDER,36416575
MYXOEDEMA,35506798
BENIGN NEOPLASM OF ISLETS OF LANGERHANS,35506709
SLEEP TERROR,36718551
FEMINISATION ACQUIRED,35506600
ANKLE ARTHROPLASTY,37520630
OBSESSIVE THOUGHTS,36918901
COLONIC PSEUDO-OBSTRUCTION,35708099
LIPODYSTROPHY ACQUIRED,36416652
DIABETIC FOOT INFECTION,35506504
ANGIOGRAM RETINA,36315131
EYE INFECTION BACTERIAL,35607111
ANTIPHOSPHOLIPID ANTIBODIES,36313662
FORMICATION,36718375
HEPATOBLASTOMA,35909675
SPINAL CORD COMPRESSION,36718598
POISONING,36211183
ELECTROENCEPHALOGRAM ABNORMAL,36315061
HEPATIC CYST,35909487
POSTMENOPAUSE,37420358
ANGIOGRAM PULMONARY,36316079
CLUSTER HEADACHE,36718130
BLOOD PROLACTIN DECREASED,36312330
BLADDER OBSTRUCTION,37019249
INTRA-UTERINE CONTRACEPTIVE DEVICE,37521570
FEBRILE BONE MARROW APLASIA,35104109
BALANOPOSTHITIS,37119526
ANOREXIA NERVOSA,36416509
STAPHYLOCOCCUS TEST POSITIVE,42890086
REVERSAL OF SEDATION,37521964
DEVELOPMENTAL GLAUCOMA,35305579
INTRAOCULAR PRESSURE FLUCTUATION,36315154
VALVULOPLASTY CARDIAC,37520768
DOPAMINE DYSREGULATION SYNDROME,36718252
DRUG EFFECT DECREASED,35809323
MUCINOUS CYSTADENOCARCINOMA OF PANCREAS,43053838
MALIGNANT NEOPLASM PROGRESSION,36617295
HAEMARTHROSIS,36211086
BIRDSHOT CHORIORETINOPATHY,43053759
PERIPHERAL NERVE DECOMPRESSION,37521482
SEPTIC NECROSIS,36110646
DEPENDENCE,36919126
INFANTILE GENETIC AGRANULOCYTOSIS,35104882
CEREBRAL HAEMATOMA,36717997
BLADDER DYSFUNCTION,42890194
ENCEPHALOMYELITIS,36717965
MACULOPATHY,35607364
RETINAL VASCULAR DISORDER,35607418
LYMPHOPENIA,35104871
GLOMERULONEPHRITIS MEMBRANOPROLIFERATIVE,37019284
EVACUATION OF RETAINED PRODUCTS OF CONCEPTION,37521620
GASTRIC VARICES,35708357
SLEEP STUDY,36315110
DYSPHONIA,36718422
BURNS SECOND DEGREE,36211457
BURNS THIRD DEGREE,36211458
DEFICIENCY ANAEMIA,35104069
INTERLEUKIN LEVEL DECREASED,36313780
GINGIVAL PAIN,35707689
MICROSCOPIC POLYANGIITIS,36009906
REFRACTORY ANAEMIA WITH RINGED SIDEROBLASTS,35104402
THALASSAEMIA ALPHA,35104276
KYPHOSIS,36516925
MULTIPLE SYSTEM ATROPHY,36718336
DIFFUSE ALOPECIA,43562815
BRONCHIAL NEOPLASM,36617875
PNEUMONIA FUNGAL,36110391
PNEUMONIA VIRAL,36111036
SERRATIA INFECTION,36110214
HAEMOGLOBIN ABNORMAL,36313239
MASTOIDITIS,35406412
THORACIC VERTEBRAL FRACTURE,36211124
VAGAL NERVE STIMULATOR IMPLANTATION,37521426
XERODERMA,37320086
CHLOASMA,36818825
GASTROINTESTINAL EROSION,35708292
METAPLASIA,35809401
CHORIORETINOPATHY,35607323
BLOOD CALCIUM ABNORMAL,36316342
FOETAL HEART RATE DISORDER,35204936
PIRIFORMIS SYNDROME,36516960
OSTEOSARCOMA METASTATIC,36517088
NEOPLASM PROGRESSION,36617309
TESTICULAR CANCER METASTATIC,36617716
ULTRASOUND SCAN,36313944
FIBROUS HISTIOCYTOMA,36617195
BLOOD PHOSPHORUS INCREASED,36316377
GINGIVAL OPERATION,37521194
SUPERFICIAL INJURY OF EYE,35607207
SUNBURN,36211451
MALIGNANT PITUITARY TUMOUR,35506675
PLATELET COUNT,36313174
BLOOD TRIGLYCERIDES DECREASED,36314072
BIPOLAR DISORDER RELAPSE PROPHYLAXIS,42890334
HAEMORRHOID OPERATION,37520950
HEARING IMPAIRED,35406368
MEGACOLON,35708134
EPSTEIN-BARR VIRAEMIA,36110887
ENTERAL NUTRITION,37522000
OCULAR PEMPHIGOID,35607131
PSOAS ABSCESS,36110627
HIV INFECTION CDC CATEGORY C3,36009940
COR PULMONALE,35205263
OCULAR CANCER METASTATIC,35607259
CONGENITAL RETINOBLASTOMA,43053748
REDUCTION OF INCREASED INTRACRANIAL PRESSURE,37521514
CARDIOVASCULAR FUNCTION TEST ABNORMAL,36311810
EXTRAGONADAL PRIMARY GERM CELL TUMOUR,43054014
YOLK SAC TUMOUR SITE UNSPECIFIED,36617286
TUBERCULIN TEST POSITIVE,36314556
DIABETIC COMA,35506514
ADRENOCORTICOTROPIC HORMONE DEFICIENCY,43053767
MUCOSAL INFECTION,35809206
PARANEOPLASTIC SYNDROME,36617342
PURULENT DISCHARGE,35809163
ARTERITIS,37622537
PLATELET AGGREGATION,36313169
SUCRASE-ISOMALTASE DEFICIENCY,35305806
ASTHENOPIA,35607314
SPINAL MUSCULAR ATROPHY,35306123
HYDROPS FOETALIS,36818651
FOETAL THERAPEUTIC PROCEDURE,37521607
UTERINE ATONY,37119732
HERPES ZOSTER MENINGOENCEPHALITIS,43562965
DIABETIC KETOACIDOSIS,35506494
MALIGNANT NEOPLASM OF THORAX,36617803
RANULA,35708710
BLOOD PRESSURE SYSTOLIC,36312084
PLASMODIUM VIVAX INFECTION,43053721
GASTROINTESTINAL ANGIODYSPLASIA,35305421
RECTOSIGMOID CANCER METASTATIC,42889267
BIOPSY LYMPH GLAND,36312885
PREMENSTRUAL HEADACHE,43054119
SCLEROTHERAPY,37522371
ROCKY MOUNTAIN SPOTTED FEVER,36110844
NEUROPATHIC ARTHROPATHY,36516784
DUODENITIS,35708064
BLOOD POTASSIUM INCREASED,36316382
OSTEOMYELITIS CHRONIC,36110468
OVARIAN DISORDER,37119557
COORDINATION ABNORMAL,36718285
STENOTROPHOMONAS SEPSIS,36110068
CEREBROSPINAL FLUID LEAKAGE,43053913
CARDIOGENIC SHOCK,35205246
GLYCOSYLATED HAEMOGLOBIN,36314181
URETHRAL SYNDROME,37019407
BREAST RECONSTRUCTION,37520709
THYROIDITIS,35506767
MOUTH HAEMORRHAGE,35708584
DENTAL IMPLANTATION,37521188
PERIODONTAL DISEASE,35707641
DYSLEXIA,36718304
MIDDLE INSOMNIA,36718556
VENOOCCLUSIVE DISEASE,37622499
PROCEDURAL HAEMORRHAGE,42889670
ERYTHEMA MULTIFORME,36009707
ESCHERICHIA BACTERAEMIA,36110122
DIVERTICULUM,35707692
NEPHRITIS,37019293
UNIVENTRICULAR HEART,35205343
CAVOPULMONARY ANASTOMOSIS,37522339
BLAST CRISIS IN MYELOGENOUS LEUKAEMIA,35104384
ILEAL ULCER,35708300
PURPURA,35104181
PLASMA PROTEIN METABOLISM DISORDER,36416692
PERIPARTUM CARDIOMYOPATHY,35205285
BLOOD BILIRUBIN DECREASED,36313549
VASCULAR PSEUDOANEURYSM,36211537
TOOTH DISCOLOURATION,35707667
METASTASES TO NERVOUS SYSTEM,36617227
BLADDER CATHETERISATION,37521751
EYELID INFECTION,35607093
SPLENIC MARGINAL ZONE LYMPHOMA,35104560
"HALLUCINATION, AUDITORY",36918985
OVARIAN NEOPLASM,36617607
SEMINOMA,36617723
ALANINE AMINOTRANSFERASE INCREASED,36313524
MULTIPLE SCLEROSIS RELAPSE PROPHYLAXIS,42890336
BREAST CYST,36617155
ASPLENIA,35104781
GASTRIC ULCER HAEMORRHAGE,35708279
ILEUS PARALYTIC,35708132
BLOOD THYROID STIMULATING HORMONE DECREASED,36312335
PHARYNGITIS BACTERIAL,36110058
VIITH NERVE PARALYSIS,36718082
HEPATIC CYST INFECTION,35909535
SUBACUTE ENDOCARDITIS,35205229
RHEUMATIC FEVER,35205212
NONSPECIFIC REACTION,35809152
NEUROCYSTICERCOSIS,36110441
SQUAMOUS CELL CARCINOMA OF THE CERVIX,36617573
FEELING COLD,35809084
RETCHING,35708207
CHOKING,37219952
PERITONSILLITIS,36110699
PIGMENTATION DISORDER,37320237
SKIN HYPOPIGMENTATION,37320236
GLOMERULONEPHRITIS,36009878
GOODPASTURE'S SYNDROME,36009803
ANTI-GLOMERULAR BASEMENT MEMBRANE ANTIBODY POSITIVE,36313633
PROCEDURAL COMPLICATION,36211689
PRIAPISM,37119651
MARROW HYPERPLASIA,35104229
EXTRACORPOREAL MEMBRANE OXYGENATION,37521162
NEUTROPHIL COUNT,36313434
ABO INCOMPATIBILITY,35104284
FATIGUE MANAGEMENT,37522168
CANCER SURGERY,45886418
TACHYCARDIA FOETAL,35204949
FEELING HOT,35809086
ARACHNOIDITIS,36211629
TRANSIENT ACANTHOLYTIC DERMATOSIS,37320137
VASCULAR DEMENTIA,36718168
RETINAL HAEMORRHAGE,35607414
IDIOPATHIC URTICARIA,36009779
CONGENITAL NEUROPATHY,35306106
POLYNEUROPATHY IDIOPATHIC PROGRESSIVE,36718466
ECTOPIC PREGNANCY,36818713
BACTERIURIA,36110019
OESOPHAGOGASTRIC FUNDOPLASTY,37520983
OPHTHALMIC HERPES SIMPLEX,43562857
ARTERIOVENOUS GRAFT SITE INFECTION,36110740
PORPHYRIA ACUTE,35305832
NORMAL LABOUR,36818831
HIGH RISK PREGNANCY,36818814
INFLUENZA VIRUS TEST POSITIVE,42889944
OVARIAN CLEAR CELL CARCINOMA,43054058
STRESS ECHOCARDIOGRAM,36311847
HEPATECTOMY,37521355
BLOOD PRESSURE AMBULATORY ABNORMAL,36312066
STEVENS-JOHNSON SYNDROME,36009724
CRYPTOCOCCOSIS,36110356
VERTEBRAL ARTERY STENOSIS,36718057
TOXIC EPIDERMAL NECROLYSIS,36009754
POSTOPERATIVE HERNIA,35809176
CELL-MEDIATED CYTOTOXICITY,36211158
TENDON DISORDER,36517149
SEIZURE CLUSTER,42890511
DUCTAL ADENOCARCINOMA OF PANCREAS,43053836
ADENOSQUAMOUS CELL LUNG CANCER STAGE III,36617812
SMALL CELL LUNG CANCER EXTENSIVE STAGE,36617904
NON-SMALL CELL LUNG CANCER RECURRENT,36617838
RASH ERYTHEMATOUS,37320164
PERITONEAL LAVAGE,37520935
CAROTID ARTERIOSCLEROSIS,36718035
BILIARY CIRRHOSIS PRIMARY,35909523
LOWER RESPIRATORY TRACT INFECTION BACTERIAL,36110047
POLYCYSTIC LIVER DISEASE,35305735
PULMONARY SARCOIDOSIS,36009856
EXPOSURE TO MOULD,42889630
VOMITING IN PREGNANCY,35708209
INFLAMMATORY MALIGNANT FIBROUS HISTIOCYTOMA,43054168
AORTIC STENOSIS,37622397
COLON OPERATION,37521045
CEREBRAL ASPERGILLOSIS,36110321
RENAL SURGERY,37521744
MICROALBUMINURIA,35506540
DRUG ABUSER,37420552
ANAEMIA OF PREGNANCY,35104066
ALCOHOLIC,37420496
CERVICAL VERTEBRAL FRACTURE,36211116
SKELETAL INJURY,36211313
DRUG USE DISORDER,1199426
ILIOTIBIAL BAND SYNDROME,36211257
DENTAL DISCOMFORT,35707657
PSEUDOXANTHOMA ELASTICUM,35305876
BRAIN STEM GLIOMA,36617386
OLIGURIA,37019316
LUTEINISING HORMONE DEFICIENCY,42889112
BLOOD THYROID STIMULATING HORMONE,36312333
HAEMANGIOPERICYTOMA,36617307
DECREASED IMMUNE RESPONSIVENESS,36009873
RETROPERITONEAL LYMPHADENOPATHY,35104774
DIFFUSE LARGE B-CELL LYMPHOMA RECURRENT,35104491
RELAPSING FEVER,36110092
RETINOIC ACID SYNDROME,36211186
CIRRHOSIS ALCOHOLIC,35909525
TONSILLECTOMY,37521332
NATURAL KILLER-CELL LYMPHOBLASTIC LYMPHOMA,35104632
BALTIC MYOCLONIC EPILEPSY,35306098
CHLAMYDIAL CERVICITIS,36110297
LIGAMENT DISORDER,36517140
PANCREATICODUODENECTOMY,37520931
CORONARY ARTERY INSUFFICIENCY,35205167
GENITAL INFECTION FEMALE,36110510
SPUTUM DISCOLOURED,37219911
SEROUS CYSTADENOCARCINOMA OVARY,43054060
RENAL PAIN,37019453
DELAYED PUBERTY,35506569
MALIGNANT NEOPLASM OF AMPULLA OF VATER,35909679
ERDHEIM-CHESTER DISEASE,35104233
VITAMIN B2 DEFICIENCY,36416722
BOVINE TUBERCULOSIS,36110764
ECTOPIC ACTH SYNDROME,35506694
HYPERCORTICOIDISM,35506452
BACTERIAL SEPSIS,36110631
SHOULDER OPERATION,37520664
HOMICIDAL IDEATION,36919068
SOMNAMBULISM,36718552
MENOMETRORRHAGIA,37119547
CHONDROPATHY,36517132
SMALL INTESTINE ADENOCARCINOMA,43053823
BREAST OPERATION,37520706
TOXIC NODULAR GOITRE,35506795
ATROPHY,35809394
VAGINAL EROSION,37119741
PREVENTION OF PREMATURE OVULATION,37522074
OESTRADIOL INCREASED,36312400
SEPSIS NEONATAL,36110643
CYANOSIS,35205023
PULMONARY VEIN STENOSIS,37219883
AORTIC VALVE INCOMPETENCE,35205064
ANTINUCLEAR ANTIBODY POSITIVE,36313661
SYSTEMIC SCLEROSIS PULMONARY,36009841
ADENOVIRUS INFECTION,36110852
PULMONARY VEIN OCCLUSION,37219882
PULMONARY ARTERY ATRESIA,35205137
DIASTOLIC HYPERTENSION,37622527
VENTRICULAR SEPTAL DEFECT REPAIR,37520777
THROAT TIGHTNESS,36919109
MYCOTIC ALLERGY,36009714
MIDDLE EAR EFFUSION,35406421
RASH PRURITIC,37320199
SKULL FRACTURED BASE,36211115
PNEUMONIA HAEMOPHILUS,36110143
COLON CANCER STAGE 0,35708420
RECTAL CANCER STAGE 0,35708412
OSTEOPETROSIS,35306023
BREAST CALCIFICATIONS,37119468
PNEUMONIA ESCHERICHIA,36110127
APLASIA,35305490
LUNG ADENOCARCINOMA RECURRENT,36617823
FREQUENT BOWEL MOVEMENTS,35708124
PROTEIN S DEFICIENCY,35104152
CEREBRAL ARTERY STENOSIS,36718041
METASTASES TO OVARY,36617228
PULMONARY VASCULAR RESISTANCE ABNORMALITY,37219881
ADENOIDITIS,35104723
CYTOREDUCTIVE SURGERY,37522139
RHINOVIRUS INFECTION,36111004
PNEUMONIA RESPIRATORY SYNCYTIAL VIRAL,36110984
PRINZMETAL ANGINA,35205195
PULMONARY HYPOPLASIA,35306249
PH BODY FLUID,36314144
MALIGNANT NEOPLASM OF UNKNOWN PRIMARY SITE,43054017
SIALOADENITIS,35708717
KAPOSI'S SARCOMA,36111000
ABSCESS NECK,36110618
CARDIOVASCULAR INSUFFICIENCY,37622447
INFECTED SKIN ULCER,36110670
NASAL ABSCESS,36110695
MOUNTAIN SICKNESS ACUTE,36211417
HEPATIC FAILURE,35909518
COLOSTOMY,37521048
EHLERS-DANLOS SYNDROME,35305874
CERVIX CARCINOMA STAGE IV,36617571
VULVOVAGINAL PAIN,37119783
STOMA CARE,37522267
MUCOSAL ATROPHY,35809197
PROGESTERONE DECREASED,36312427
LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,1197924
DILATATION VENTRICULAR,35205319
PULSE PRESSURE INCREASED,36311998
ANAL HAEMORRHAGE,35707856
OSTEOCHONDROSIS,36517135
ARTERIOSCLEROSIS CORONARY ARTERY,35205160
ASTROCYTOMA MALIGNANT,36617385
CATHETER SITE INFLAMMATION,35808854
LINEAR IGA DISEASE,36009846
KOEBNER PHENOMENON,37320113
PROGRESSIVE MULTIFOCAL LEUKOENCEPHALOPATHY,36110978
INTRAUTERINE INFECTION,36110512
VENOUS PRESSURE,36312115
PSEUDOLYMPHOMA,35104230
GANGRENE,36110040
THALAMIC INFARCTION,36718027
HELMINTHIC INFECTION,35707963
PLASTIC SURGERY,37522234
VERTIGO POSITIONAL,35406394
NEURODEGENERATIVE DISORDER,36718339
CONCOMITANT DISEASE AGGRAVATED,35809113
HEART TRANSPLANT REJECTION,35205003
MYASTHENIC SYNDROME,36516879
LACUNAR INFARCTION,36718017
HEPATITIS B ANTIBODY POSITIVE,36314672
TOTAL BILE ACIDS INCREASED,36313601
OPTIC NERVE DISORDER,35607494
HERPES DERMATITIS,36110912
ADRENOGENITAL SYNDROME,35305553
FACE OEDEMA,35809220
RETAINED PRODUCTS OF CONCEPTION,36211725
HYPERTHERMIA,35809039
CYTOGENETIC ABNORMALITY,35305470
CONGENITAL PULMONARY HYPERTENSION,35306252
PELVIC NEOPLASM,36617311
AMPHETAMINES POSITIVE,36316202
REACTIVE PSYCHOSIS,36919151
GRANULOMA ANNULARE,37320171
SECONDARY ADRENOCORTICAL INSUFFICIENCY,35506465
RESPIRATORY SYNCYTIAL VIRUS TEST POSITIVE,36314749
PERIPHERAL SENSORIMOTOR NEUROPATHY,36718502
EISENMENGER'S SYNDROME,35305404
ANTIDEPRESSANT DRUG LEVEL,36316144
DIFFUSE LARGE B-CELL LYMPHOMA REFRACTORY,35104492
SINUS ARRHYTHMIA,35204958
COLD AGGLUTININS,36313674
FRONTOTEMPORAL DEMENTIA,36718165
ACOUSTIC NEUROMA,35406398
MYOFASCIAL PAIN SYNDROME,36516839
GINGIVAL INFLAMMATION,42889224
EPENDYMOMA MALIGNANT,36617387
PERIODONTAL INFLAMMATION,42889216
BLADDER OUTLET OBSTRUCTION,42890190
MUCOCUTANEOUS CANDIDIASIS,36110341
ELECTROCARDIOGRAM ST SEGMENT ELEVATION,36311930
DERMATITIS PAPILLARIS CAPILLITII,37320078
CONCENTRIC SCLEROSIS,36718107
HIGH DENSITY LIPOPROTEIN,36313991
PLACENTAL INFARCTION,36818791
ALVEOLAR SOFT PART SARCOMA,36517021
HEPATITIS ALCOHOLIC,35909615
SHORT-CHAIN ACYL-COENZYME A DEHYDROGENASE DEFICIENCY,42889053
SUPERINFECTION BACTERIAL,36110070
BLOOD CORTICOTROPHIN DECREASED,36312305
RECTAL CANCER STAGE III,35708415
DEVICE PRIMING,45885632
NEURODERMATITIS,37320150
ARTERIOVENOUS MALFORMATION,35305414
CARDIAC AMYLOIDOSIS,35205308
RHYTHM IDIOVENTRICULAR,35204974
EWING'S SARCOMA METASTATIC,36517037
ADRENAL DISORDER,35506469
RIGHT VENTRICULAR SYSTOLIC PRESSURE INCREASED,36311846
GOUTY TOPHUS,36416697
HEMIPLEGIC MIGRAINE,42890358
DOWLING-DEGOS DISEASE,35306276
ALLERGIC TRANSFUSION REACTION,36009690
NOONAN SYNDROME,35205151
NAIL INFECTION,36110672
BLOOD GLUCOSE DECREASED,36314157
RHEUMATOID SCLERITIS,35607171
SCEDOSPORIUM INFECTION,36110397
BLOOD GROWTH HORMONE,36312318
BARTONELLOSIS,36110831
OPTIC GLIOMA,43053765
LEIOMYOMA,36517114
MILK ALLERGY,36009743
EJECTION FRACTION ABNORMAL,36311823
RENAL LYMPHOCELE,35104773
BONE SCAN ABNORMAL,36314859
LISSENCEPHALY,35306090
TYPE II HYPERLIPIDAEMIA,35305818
CALCIPHYLAXIS,36416559
ALCOHOL WITHDRAWAL SYNDROME,35809365
DIABETIC FOOT,35506503
NELSON'S SYNDROME,35506453
INSULIN RESISTANCE SYNDROME,35506633
PRODUCT USE ISSUE,45885570
HYPERINSULINAEMIA,35506634
RESPIRATORY TRACT INFECTION FUNGAL,36110396
ATHEROSCLEROSIS PROPHYLAXIS,37522045
SOFT TISSUE INJURY,36211315
FREE FATTY ACIDS ABNORMAL,36314056
ANTINEUTROPHIL CYTOPLASMIC ANTIBODY POSITIVE,36313657
HAIR TEXTURE ABNORMAL,37320313
PNEUMONIA KLEBSIELLA,36110151
GASTRIC MUCOSAL LESION,35707825
HYPOPROTEINAEMIA,35909512
KERATITIS-ICHTHYOSIS-DEAFNESS SYNDROME,35305510
PNEUMONIA NECROTISING,36110598
TONIC CLONIC MOVEMENTS,36718541
INFECTIOUS PLEURAL EFFUSION,42889534
IMMUNE-MEDIATED NECROTISING MYOPATHY,42889358
GENITAL ABSCESS,36110542
DENTAL PROSTHESIS USER,37420516
NEUROTOXICITY,36211181
DRESSLER'S SYNDROME,35205384
RESPIRATORY SYNCYTIAL VIRUS TEST,36314747
SUBSTANCE-INDUCED PSYCHOTIC DISORDER,42889646
PSYCHIATRIC SYMPTOM,36919108
BLOOD CREATINE PHOSPHOKINASE,36312525
DANDRUFF,37320221
SCROTAL INFECTION,36110614
EXPOSURE VIA PARTNER,42889573
INADEQUATE LUBRICATION,36919186
UNEVALUABLE INVESTIGATION,42889988
ACUTE FOCAL BACTERIAL NEPHRITIS,42889514
EPIDURAL INJECTION,42890260
PEPTIC ULCER HAEMORRHAGE,35708323
LIGHT CHAIN DISEASE,35104673
HYPEREMESIS GRAVIDARUM,36818716
VOGT-KOYANAGI-HARADA SYNDROME,35607140
HEPATITIS B SURFACE ANTIGEN POSITIVE,36314683
HAEMORRHAGIC STROKE,36718010
MENINGITIS VIRAL,36111030
BRUXISM,35708169
CERVICOGENIC HEADACHE,36516952
LIVER SCAN,36313505
DOPAMINERGIC DRUG THERAPY,42890445
PERFORMANCE FEAR,36918889
HYPOCARNITINAEMIA,43562864
EPIDERMOLYSIS BULLOSA,35306278
FEEDING DISORDER,36416528
MEDIASTINUM NEOPLASM,36617800
THYROIDITIS CHRONIC,35506769
ILEUS,35708240
CHOLANGITIS,35909418
CYSTADENOCARCINOMA OVARY,43054056
CONGENITAL GENERALISED LIPODYSTROPHY,35306268
SCLERITIS,35607174
RADICULAR SYNDROME,36718592
RETINAL DETACHMENT,35607370
GALLBLADDER OPERATION,37521353
SCARLET FEVER,36110260
HEPATITIS B E ANTIBODY POSITIVE,42889924
VITREOUS HAEMORRHAGE,35607402
THYREOSTATIC THERAPY,37520821
CERVIX CANCER METASTATIC,36617564
BENIGN NEOPLASM OF SKIN,36617192
MOEBIUS II SYNDROME,35306116
METASTATIC CHORIOCARCINOMA,42890156
ERYSIPELOID,36110663
ANTIOESTROGEN THERAPY,37520790
ACCIDENT AT WORK,36211282
PERIPHERAL ARTERY STENT INSERTION,42890811
BLOOD PRESSURE SYSTOLIC INCREASED,36312087
DERMATOSIS,37320108
LARGE INTESTINE PERFORATION,35708310
VESTIBULAR NEURONITIS,35406401
MIDDLE EAR DISORDER,35406420
SEVERE ACUTE RESPIRATORY SYNDROME,35809055
BUNDLE BRANCH BLOCK RIGHT,35204912
GLUCOCORTICOIDS ABNORMAL,36312176
CARDIO-RESPIRATORY ARREST,35204970
HEPATITIS A,35909576
DRUG-INDUCED LIVER INJURY,42889495
FULL BLOOD COUNT DECREASED,36312856
POST CONCUSSION SYNDROME,36211309
CHOLINERGIC SYNDROME,36718444
HERNIA REPAIR,37521030
DRUG ADMINISTERED AT INAPPROPRIATE SITE,36211460
OSTEOMALACIA,36416549
BLOOD TESTOSTERONE NORMAL,36312389
UNDERDOSE,36211473
MESOTHELIOMA,36617212
UTERINE CONTRACTIONS DURING PREGNANCY,36818836
UNDIFFERENTIATED SARCOMA,36517106
INTRACRANIAL ANEURYSM,36717973
TESTICULAR EMBRYONAL CARCINOMA,36617729
STATUS ASTHMATICUS,37219809
ANAL CANCER METASTATIC,35708375
VAGUS NERVE DISORDER,36718102
SINUS BRADYCARDIA,35204959
ABNORMAL SENSATION IN EYE,35607313
VITAMIN B1 DEFICIENCY,36416720
CORNEAL OEDEMA,35607050
TALIPES,35305953
ANOVULATORY CYCLE,35506578
"FOLLICLE CENTRE LYMPHOMA, FOLLICULAR GRADE I, II, III STAGE III",35104516
NON-HODGKIN'S LYMPHOMA STAGE II,35104647
METASTASES TO ABDOMINAL CAVITY,35708462
DIFFUSE PANBRONCHIOLITIS,37219815
EPSTEIN-BARR VIRUS ASSOCIATED LYMPHOMA,42888977
NASAL SINUS CANCER,36617857
BLOOD PRESSURE AMBULATORY,36312065
CARBON MONOXIDE POISONING,36211157
HORDEOLUM,35607097
UTERINE LEIOMYOSARCOMA,36617955
ORNITHINE TRANSCARBAMOYLASE DEFICIENCY,35305781
INJECTION SITE REACTION,35809014
CONTRAST MEDIA ALLERGY,36009733
BLOOD TEST ABNORMAL,36313957
ABORTION SPONTANEOUS,36818634
DEEP VEIN THROMBOSIS POSTOPERATIVE,36211526
VASCULAR OPERATION,37522357
PANOPHTHALMITIS,35607136
MAMMOPLASTY,37520712
DEVICE RELATED SEPSIS,42889309
TRICUSPID VALVE DISEASE,35205112
BREAST CANCER STAGE I,36617168
FEMALE REPRODUCTIVE NEOPLASM,36617605
RECTAL NEOPLASM,35708378
ANAEMIA MEGALOBLASTIC,35104076
TERMINAL ILEITIS,35737913
IMMUNISATION REACTION,35809338
PROCTITIS,35708089
LONG QT SYNDROME,35204915
INTRAOCULAR MELANOMA,35607214
ACUTE SINUSITIS,36110687
PYOMYOSITIS,36110062
PORTAL HYPERTENSIVE GASTROPATHY,35707855
TACHYPNOEA,37219898
TENOSYNOVITIS,36517151
ANTI-NMDA ANTIBODY,42889859
CHROMOSOMAL DELETION,35305468
MYOCARDIAL BRIDGING,35205150
ANAPLASTIC LYMPHOMA KINASE GENE MUTATION,42889412
INJURY ASSOCIATED WITH DEVICE,42889310
DYSPNOEA EXERTIONAL,35205040
INTERNATIONAL NORMALISED RATIO DECREASED,36313048
PROTEIN C DEFICIENCY,35104151
PROTHROMBIN LEVEL,36313083
RETINAL OEDEMA,35607160
BLOOD UREA,36315577
PNEUMOTHORAX,37219865
PANCREATITIS NECROTISING,35707721
STEATORRHOEA,35708372
PANCREATIC OPERATION,37521089
BREAST LUMP REMOVAL,37520697
CHOLANGIOGRAM,36313488
STREPTOCOCCAL BACTERAEMIA,36110263
BLOOD OESTROGEN DECREASED,36312377
FEEDING DISORDER NEONATAL,36416529
PYOGENIC GRANULOMA,36617204
CEREBRAL ISCHAEMIA,36718003
METHYLENETETRAHYDROFOLATE REDUCTASE DEFICIENCY,42888951
ACTIVATED PROTEIN C RESISTANCE,35104156
CONJUNCTIVAL HYPERAEMIA,35607027
PINGUECULITIS,35607045
METASTASES TO ADRENALS,35506488
HYSTERICAL PSYCHOSIS,36919147
TIBIA FRACTURE,36211105
ANORGASMIA,36919165
VOLVULUS,35708256
OEDEMA MUCOSAL,35809213
BLOOD ALBUMIN,36315469
