indication,indication_concept_id,indication_clean,cancer_flag
DEVICE FAILURE,36211544,DEVICE FAILURE,FALSE
MORTON'S NEURALGIA,36718400,MORTON'S NEURALGIA,FALSE
CHRONIC LEUKAEMIA IN REMISSION,35104359,CHRONIC LEUKAEMIA IN REMISSION,TRUE
THROMBOPHLEBITIS MIGRANS,37622459,THROMBOPHLEBITIS MIGRANS,FALSE
BLOOD GLUCOSE NORMAL,36314161,BLOOD GLUCOSE NORMAL,FALSE
MALIGNANT MAST CELL NEOPLASM,35104227,MALIGNANT MAST CELL NEOPLASM,TRUE
RECTAL ABSCESS,35707891,RECTAL ABSCESS,FALSE
ANTI-THROMBIN ANTIBODY,42889838,ANTI-THROMBIN ANTIBODY,FALSE
LARYNGEAL STENOSIS,37220005,LARYNGEAL STENOSIS,FALSE
URINE OUTPUT,36315753,URINE OUTPUT,FALSE
OESOPHAGEAL SQUAMOUS CELL CARCINOMA STAGE II,35708527,OESOPHAGEAL SQUAMOUS CELL CARCINOMA STAGE II,TRUE
HEPATIC EMBOLISATION,37521356,HEPATIC EMBOLISATION,FALSE
RADIATION ASSOCIATED PAIN,35809250,RADIATION ASSOCIATED PAIN,FALSE
ANDROGENS ABNORMAL,36312361,ANDROGENS ABNORMAL,FALSE
ANTIDEPRESSANT DRUG LEVEL INCREASED,36316148,ANTIDEPRESSANT DRUG LEVEL INCREASED,FALSE
DIPLEGIA,36718228,DIPLEGIA,FALSE
OTOPLASTY,37521217,OTOPLASTY,FALSE
AGITATED DEPRESSION,36718346,AGITATED DEPRESSION,FALSE
TAY-SACHS DISEASE,35305868,TAY-SACHS DISEASE,FALSE
ABDOMINAL WALL HAEMATOMA,35707521,ABDOMINAL WALL HAEMATOMA,FALSE
ENCEPHALITIS CYTOMEGALOVIRUS,36110880,ENCEPHALITIS CYTOMEGALOVIRUS,FALSE
VAGINISMUS,36919203,VAGINISMUS,FALSE
AMMONIA,36313526,AMMONIA,FALSE
BLOOD LACTIC ACID INCREASED,36314099,BLOOD LACTIC ACID INCREASED,FALSE
INTENSIVE CARE,37522194,INTENSIVE CARE,FALSE
INFANTILE ASTHMA,37219805,INFANTILE ASTHMA,FALSE
ADJUSTED CALCIUM,45885835,ADJUSTED CALCIUM,FALSE
CNS VENTRICULITIS,36717958,CNS VENTRICULITIS,FALSE
HYPERPARATHYROIDISM TERTIARY,35506748,HYPERPARATHYROIDISM TERTIARY,FALSE
MACULE,42890387,MACULE,FALSE
HELICOBACTER TEST POSITIVE,42890056,HELICOBACTER TEST POSITIVE,FALSE
HEART INJURY,35205002,HEART INJURY,FALSE
SPUTUM INCREASED,42890323,SPUTUM INCREASED,FALSE
VAGINITIS GARDNERELLA,36110135,VAGINITIS GARDNERELLA,FALSE
CHRONIC LYMPHOCYTIC LEUKAEMIA (IN REMISSION),35104365,CHRONIC LYMPHOCYTIC LEUKAEMIA (IN REMISSION),TRUE
URINARY TRACT INFECTION NEONATAL,36110737,URINARY TRACT INFECTION NEONATAL,FALSE
POSTPARTUM SEPSIS,36110640,POSTPARTUM SEPSIS,FALSE
GLIOSIS,36717961,GLIOSIS,FALSE
BENIGN VASCULAR NEOPLASM,36617246,BENIGN VASCULAR NEOPLASM,TRUE
GLOMERULONEPHRITIS RAPIDLY PROGRESSIVE,37019288,GLOMERULONEPHRITIS RAPIDLY PROGRESSIVE,FALSE
CEREBRAL MALARIA,36110811,CEREBRAL MALARIA,FALSE
AMINO ACID LEVEL DECREASED,36315447,AMINO ACID LEVEL DECREASED,FALSE
SCREAMING,36918936,SCREAMING,FALSE
CUTANEOUS TUBERCULOSIS,36110765,CUTANEOUS TUBERCULOSIS,FALSE
"FOLLICLE CENTRE LYMPHOMA, FOLLICULAR GRADE I, II, III STAGE IV",35104517,"FOLLICLE CENTRE LYMPHOMA, FOLLICULAR GRADE I, II, III STAGE IV",TRUE
LYMPHADENITIS BACTERIAL,35104741,LYMPHADENITIS BACTERIAL,FALSE
NASAL IRRIGATION,37521291,NASAL IRRIGATION,FALSE
PLATELET COUNT ABNORMAL,36313175,PLATELET COUNT ABNORMAL,FALSE
CHEMICAL POISONING,36211159,CHEMICAL POISONING,FALSE
AVOIDANT PERSONALITY DISORDER,36919087,AVOIDANT PERSONALITY DISORDER,FALSE
HOSTILITY,36919069,HOSTILITY,FALSE
CONGENITAL HYDRONEPHROSIS,35306136,CONGENITAL HYDRONEPHROSIS,FALSE
MISMATCHED DONOR BONE MARROW TRANSPLANTATION THERAPY,37521134,MISMATCHED DONOR BONE MARROW TRANSPLANTATION THERAPY,FALSE
GAIT APRAXIA,42889440,GAIT APRAXIA,FALSE
FRACTURE NONUNION,36211068,FRACTURE NONUNION,FALSE
HERPES SIMPLEX ENCEPHALITIS,43053891,HERPES SIMPLEX ENCEPHALITIS,FALSE
"DELUSIONAL DISORDER, PERSECUTORY TYPE",36919142,"DELUSIONAL DISORDER, PERSECUTORY TYPE",FALSE
NONINFECTIVE CONJUNCTIVITIS,45885794,NONINFECTIVE CONJUNCTIVITIS,FALSE
PHYSICAL ABUSE,37420485,PHYSICAL ABUSE,FALSE
ILLUSION,36918992,ILLUSION,FALSE
TRICHOTILLOMANIA,36919030,TRICHOTILLOMANIA,FALSE
"BRIEF PSYCHOTIC DISORDER, WITH POSTPARTUM ONSET",36818809,"BRIEF PSYCHOTIC DISORDER, WITH POSTPARTUM ONSET",FALSE
SOCIAL ANXIETY DISORDER,36978773,SOCIAL ANXIETY DISORDER,FALSE
EXTRAVASATION,35809127,EXTRAVASATION,FALSE
NUCLEAR MAGNETIC RESONANCE IMAGING LIVER,42889844,NUCLEAR MAGNETIC RESONANCE IMAGING LIVER,FALSE
GLYCOSYLATED HAEMOGLOBIN DECREASED,36314182,GLYCOSYLATED HAEMOGLOBIN DECREASED,FALSE
PARASOMNIA,36919208,PARASOMNIA,FALSE
GASTROINTESTINAL ULCER HAEMORRHAGE,35708295,GASTROINTESTINAL ULCER HAEMORRHAGE,FALSE
SPERM CONCENTRATION DECREASED,42890235,SPERM CONCENTRATION DECREASED,FALSE
VASOSPASM,37622416,VASOSPASM,FALSE
ACUTE STRESS DISORDER,36918909,ACUTE STRESS DISORDER,FALSE
BARIUM DOUBLE CONTRAST,36312682,BARIUM DOUBLE CONTRAST,FALSE
DYSCHEZIA,35708117,DYSCHEZIA,FALSE
VAGINAL ODOUR,37119774,VAGINAL ODOUR,FALSE
PORTAL VEIN PRESSURE INCREASED,36313599,PORTAL VEIN PRESSURE INCREASED,FALSE
BLADDER NEOPLASM SURGERY,37521712,BLADDER NEOPLASM SURGERY,TRUE
HUNGER,35809091,HUNGER,FALSE
PERICARDIAL FIBROSIS,35205390,PERICARDIAL FIBROSIS,FALSE
BLOOD ERYTHROPOIETIN INCREASED,36313137,BLOOD ERYTHROPOIETIN INCREASED,FALSE
PERINEPHRIC COLLECTION,36211345,PERINEPHRIC COLLECTION,FALSE
VENTILATION PERFUSION MISMATCH,42890328,VENTILATION PERFUSION MISMATCH,FALSE
BLOOD PRESSURE AMBULATORY INCREASED,36312068,BLOOD PRESSURE AMBULATORY INCREASED,FALSE
INJECTION SITE URTICARIA,35809022,INJECTION SITE URTICARIA,FALSE
HAEMOGLOBIN E-THALASSAEMIA DISEASE,35104264,HAEMOGLOBIN E-THALASSAEMIA DISEASE,FALSE
EPIDURAL TEST DOSE,37521951,EPIDURAL TEST DOSE,FALSE
ACUTE GRAFT VERSUS HOST DISEASE IN LIVER,35909603,ACUTE GRAFT VERSUS HOST DISEASE IN LIVER,FALSE
VITAMIN A DEFICIENCY,36416705,VITAMIN A DEFICIENCY,FALSE
VULVECTOMY,37521585,VULVECTOMY,FALSE
DELUSION OF GRANDEUR,36918969,DELUSION OF GRANDEUR,FALSE
PERIPHERAL NERVE INFECTION,36110565,PERIPHERAL NERVE INFECTION,FALSE
STOMA SITE INFECTION,36148416,STOMA SITE INFECTION,FALSE
RENAL AMYLOIDOSIS,36009866,RENAL AMYLOIDOSIS,FALSE
ABDOMINAL SYMPTOM,35708165,ABDOMINAL SYMPTOM,FALSE
CAMPYLOBACTER INFECTION,36110096,CAMPYLOBACTER INFECTION,FALSE
PUBIC PAIN,36516766,PUBIC PAIN,FALSE
PAPILLARY SEROUS ENDOMETRIAL CARCINOMA,36617587,PAPILLARY SEROUS ENDOMETRIAL CARCINOMA,TRUE
FACIAL BONES FRACTURE,36211111,FACIAL BONES FRACTURE,FALSE
ALLERGIC COUGH,36009685,ALLERGIC COUGH,FALSE
APHERESIS,37521119,APHERESIS,FALSE
ANTISOCIAL PERSONALITY DISORDER,36919090,ANTISOCIAL PERSONALITY DISORDER,FALSE
DISSEMINATED CRYPTOCOCCOSIS,36110357,DISSEMINATED CRYPTOCOCCOSIS,FALSE
DROP ATTACKS,36718457,DROP ATTACKS,FALSE
TRAUMATIC ARTHRITIS,36211319,TRAUMATIC ARTHRITIS,FALSE
PLATELET AGGREGATION ABNORMAL,36313170,PLATELET AGGREGATION ABNORMAL,FALSE
CHOLESTASIS OF PREGNANCY,35909470,CHOLESTASIS OF PREGNANCY,FALSE
BRACHIAL PLEXUS INJURY,36211330,BRACHIAL PLEXUS INJURY,FALSE
MORBID THOUGHTS,36919005,MORBID THOUGHTS,FALSE
VITAMIN E DECREASED,36314368,VITAMIN E DECREASED,FALSE
RESPIRATORY TRACT INFECTION BACTERIAL,36110063,RESPIRATORY TRACT INFECTION BACTERIAL,FALSE
ASYMPTOMATIC HIV INFECTION,36110988,ASYMPTOMATIC HIV INFECTION,FALSE
INFESTATION,36110314,INFESTATION,FALSE
TRAUMATIC FRACTURE,36211080,TRAUMATIC FRACTURE,FALSE
IRIS ADHESIONS,35606889,IRIS ADHESIONS,FALSE
VULVAL ABSCESS,36110531,VULVAL ABSCESS,FALSE
ADJUSTMENT DISORDER WITH DISTURBANCE OF CONDUCT,36918849,ADJUSTMENT DISORDER WITH DISTURBANCE OF CONDUCT,FALSE
OLIGOSPERMIA,37182064,OLIGOSPERMIA,FALSE
NEURALGIC AMYOTROPHY,36516887,NEURALGIC AMYOTROPHY,FALSE
SPLENIC NEOPLASM MALIGNANCY UNSPECIFIED,35104231,SPLENIC NEOPLASM MALIGNANCY UNSPECIFIED,TRUE
PERIVENTRICULAR LEUKOMALACIA,36718124,PERIVENTRICULAR LEUKOMALACIA,FALSE
TETANUS,36110103,TETANUS,FALSE
MUSCLE RELEASE,37521922,MUSCLE RELEASE,FALSE
GRANULOMA SKIN,37320172,GRANULOMA SKIN,FALSE
GLASSY EYES,42889163,GLASSY EYES,FALSE
STAG HORN CALCULUS,37019457,STAG HORN CALCULUS,FALSE
OESOPHAGEAL ADENOCARCINOMA RECURRENT,35708512,OESOPHAGEAL ADENOCARCINOMA RECURRENT,TRUE
NEONATAL RESPIRATORY DISTRESS SYNDROME PROPHYLAXIS,37522068,NEONATAL RESPIRATORY DISTRESS SYNDROME PROPHYLAXIS,FALSE
RENAL HYPOPLASIA,35306170,RENAL HYPOPLASIA,FALSE
WEIGHT FLUCTUATION,36416540,WEIGHT FLUCTUATION,FALSE
COLLATERAL CIRCULATION,42890831,COLLATERAL CIRCULATION,FALSE
ABDOMINAL ADHESIONS,35708675,ABDOMINAL ADHESIONS,FALSE
MEIBOMIAN GLAND DYSFUNCTION,42889179,MEIBOMIAN GLAND DYSFUNCTION,FALSE
TONGUE BITING,35708736,TONGUE BITING,FALSE
BONE FORMATION INCREASED,36516732,BONE FORMATION INCREASED,FALSE
APPLICATION SITE ERYTHEMA,35808800,APPLICATION SITE ERYTHEMA,FALSE
TRANSCATHETER AORTIC VALVE IMPLANTATION,46276775,TRANSCATHETER AORTIC VALVE IMPLANTATION,FALSE
UTERINE DILATION AND CURETTAGE,37521662,UTERINE DILATION AND CURETTAGE,FALSE
HYPERPLASIA,35809399,HYPERPLASIA,FALSE
REHABILITATION THERAPY,37522248,REHABILITATION THERAPY,FALSE
ADHESION,35809109,ADHESION,FALSE
OVARIAN REMNANT SYNDROME,36211717,OVARIAN REMNANT SYNDROME,FALSE
MENINGITIS COCCIDIOIDES,36110353,MENINGITIS COCCIDIOIDES,FALSE
DYSMORPHOPHOBIA,36918868,DYSMORPHOPHOBIA,FALSE
CONGENITAL HYPERTHYROIDISM,35305569,CONGENITAL HYPERTHYROIDISM,FALSE
HISTAMINE LEVEL INCREASED,36315396,HISTAMINE LEVEL INCREASED,FALSE
GASTROINTESTINAL NECROSIS,35708331,GASTROINTESTINAL NECROSIS,FALSE
NORMOCHROMIC NORMOCYTIC ANAEMIA,35104092,NORMOCHROMIC NORMOCYTIC ANAEMIA,FALSE
VASOPLEGIA SYNDROME,36211539,VASOPLEGIA SYNDROME,FALSE
ALCOHOLIC SEIZURE,36718522,ALCOHOLIC SEIZURE,FALSE
THERAPY NAIVE,35809359,THERAPY NAIVE,FALSE
POLYPECTOMY,37522236,POLYPECTOMY,FALSE
EUSTACHIAN TUBE DYSFUNCTION,35406403,EUSTACHIAN TUBE DYSFUNCTION,FALSE
ACCELERATED HYPERTENSION,37622520,ACCELERATED HYPERTENSION,FALSE
LESION EXCISION,37522197,LESION EXCISION,FALSE
INSULIN-LIKE GROWTH FACTOR,36312235,INSULIN-LIKE GROWTH FACTOR,FALSE
MULTIMORBIDITY,35809149,MULTIMORBIDITY,FALSE
BILIARY SEPSIS,35909410,BILIARY SEPSIS,FALSE
CEREBRAL VENOUS THROMBOSIS,36718060,CEREBRAL VENOUS THROMBOSIS,FALSE
POSTOPERATIVE WOUND COMPLICATION,36211688,POSTOPERATIVE WOUND COMPLICATION,FALSE
ANTI-EPITHELIAL ANTIBODY,42889877,ANTI-EPITHELIAL ANTIBODY,FALSE
PANCOAST'S SYNDROME,36617327,PANCOAST'S SYNDROME,FALSE
PULMONARY BULLA,37219841,PULMONARY BULLA,FALSE
BURNING FEET SYNDROME,42890574,BURNING FEET SYNDROME,FALSE
MALIGNANT MEDIASTINAL NEOPLASM,36617802,MALIGNANT MEDIASTINAL NEOPLASM,TRUE
LENS EXTRACTION,42890627,LENS EXTRACTION,FALSE
BLOOD IMMUNOGLOBULIN E DECREASED,36313798,BLOOD IMMUNOGLOBULIN E DECREASED,FALSE
POOR DENTAL CONDITION,35707642,POOR DENTAL CONDITION,FALSE
ANTICONVULSANT DRUG LEVEL,36316134,ANTICONVULSANT DRUG LEVEL,FALSE
NEURAL TUBE DEFECT,35306062,NEURAL TUBE DEFECT,FALSE
URINE URIC ACID,36315729,URINE URIC ACID,FALSE
ORGASMIC SENSATION DECREASED,36919169,ORGASMIC SENSATION DECREASED,FALSE
GRAFT COMPLICATION,36211656,GRAFT COMPLICATION,FALSE
DEDIFFERENTIATED LIPOSARCOMA,43054156,DEDIFFERENTIATED LIPOSARCOMA,TRUE
NEUROSYPHILIS,36110277,NEUROSYPHILIS,FALSE
GASTROINTESTINAL TUBE INSERTION,37521007,GASTROINTESTINAL TUBE INSERTION,FALSE
BREAST HYPERPLASIA,37119463,BREAST HYPERPLASIA,FALSE
NEURONAL NEUROPATHY,42890470,NEURONAL NEUROPATHY,FALSE
CORONARY ARTERY EMBOLISM,35205166,CORONARY ARTERY EMBOLISM,FALSE
ACUTE LYMPHOCYTIC LEUKAEMIA (IN REMISSION),35104340,ACUTE LYMPHOCYTIC LEUKAEMIA (IN REMISSION),TRUE
VULVAL OEDEMA,37119779,VULVAL OEDEMA,FALSE
ACUTE POLYNEUROPATHY,36718462,ACUTE POLYNEUROPATHY,FALSE
EUSTACHIAN TUBE OBSTRUCTION,35406404,EUSTACHIAN TUBE OBSTRUCTION,FALSE
EYE IRRIGATION,37520851,EYE IRRIGATION,FALSE
LIBIDO INCREASED,36919196,LIBIDO INCREASED,FALSE
HYPERREFLEXIA,36718272,HYPERREFLEXIA,FALSE
PELVIC PROLAPSE,37119695,PELVIC PROLAPSE,FALSE
CARCINOID HEART DISEASE,35205075,CARCINOID HEART DISEASE,TRUE
ELECTROLYTE DEPLETION,36416583,ELECTROLYTE DEPLETION,FALSE
GLOSSITIS,35708730,GLOSSITIS,FALSE
SKIN EROSION,37320253,SKIN EROSION,FALSE
BENIGN NEOPLASM OF RETINA,35607228,BENIGN NEOPLASM OF RETINA,TRUE
BLOOD ERYTHROPOIETIN,36313134,BLOOD ERYTHROPOIETIN,FALSE
DENTAL PLAQUE,35707663,DENTAL PLAQUE,FALSE
RETROPERITONEAL NEOPLASM METASTATIC,35708474,RETROPERITONEAL NEOPLASM METASTATIC,TRUE
LEUKAEMIA BASOPHILIC,35104388,LEUKAEMIA BASOPHILIC,TRUE
GASTROINTESTINAL INJURY,35707765,GASTROINTESTINAL INJURY,FALSE
STRESS AT WORK,37420372,STRESS AT WORK,FALSE
HUMAN EHRLICHIOSIS,36110837,HUMAN EHRLICHIOSIS,FALSE
CHEST X-RAY ABNORMAL,36316089,CHEST X-RAY ABNORMAL,FALSE
OVARIAN GRANULOSA CELL TUMOUR,43054049,OVARIAN GRANULOSA CELL TUMOUR,TRUE
PREMATURE SEPARATION OF PLACENTA,36818706,PREMATURE SEPARATION OF PLACENTA,FALSE
DISUSE SYNDROME,35809122,DISUSE SYNDROME,FALSE
BILE DUCT STONE,35909428,BILE DUCT STONE,FALSE
UROGENITAL INFECTION BACTERIAL,36110076,UROGENITAL INFECTION BACTERIAL,FALSE
COGAN'S SYNDROME,35406389,COGAN'S SYNDROME,FALSE
PROGESTIN REPLACEMENT THERAPY,37520801,PROGESTIN REPLACEMENT THERAPY,FALSE
HELLP SYNDROME,35104686,HELLP SYNDROME,FALSE
OCULAR VASCULAR DISORDER,35607008,OCULAR VASCULAR DISORDER,FALSE
SPINAL NERVE STIMULATOR IMPLANTATION,37521541,SPINAL NERVE STIMULATOR IMPLANTATION,FALSE
ROTATOR CUFF REPAIR,37520662,ROTATOR CUFF REPAIR,FALSE
COLPORRHAPHY,37521672,COLPORRHAPHY,FALSE
ATYPICAL FRACTURE,42889616,ATYPICAL FRACTURE,FALSE
NARCISSISTIC PERSONALITY DISORDER,36919093,NARCISSISTIC PERSONALITY DISORDER,FALSE
SARCOMATOID MESOTHELIOMA,43054180,SARCOMATOID MESOTHELIOMA,TRUE
CHEST WALL MASS,36516963,CHEST WALL MASS,TRUE
DENTAL EXAMINATION,36315277,DENTAL EXAMINATION,FALSE
BRONCHOSTENOSIS,37219803,BRONCHOSTENOSIS,FALSE
AFRICAN TRYPANOSOMIASIS,36110827,AFRICAN TRYPANOSOMIASIS,FALSE
TRANSVERSUS ABDOMINIS PLANE BLOCK,43010710,TRANSVERSUS ABDOMINIS PLANE BLOCK,FALSE
TRANSAMINASES INCREASED,36313605,TRANSAMINASES INCREASED,FALSE
LIP INFECTION,42889277,LIP INFECTION,FALSE
SEXUALLY ACTIVE,37420465,SEXUALLY ACTIVE,FALSE
RENAL CANCER STAGE III,36617493,RENAL CANCER STAGE III,TRUE
PRURITUS ALLERGIC,36009720,PRURITUS ALLERGIC,FALSE
GINGIVAL BLEEDING,35707686,GINGIVAL BLEEDING,FALSE
VIRAL RASH,36111050,VIRAL RASH,FALSE
GASTRIC LAVAGE,37521002,GASTRIC LAVAGE,FALSE
CEPHALHAEMATOMA,36211371,CEPHALHAEMATOMA,FALSE
OTOSCLEROSIS,35406423,OTOSCLEROSIS,FALSE
IMMATURE RESPIRATORY SYSTEM,36818752,IMMATURE RESPIRATORY SYSTEM,FALSE
HYPERTRANSAMINASAEMIA,35909510,HYPERTRANSAMINASAEMIA,FALSE
PERIVASCULAR DERMATITIS,37320151,PERIVASCULAR DERMATITIS,FALSE
EOSINOPHIL COUNT ABNORMAL,36313348,EOSINOPHIL COUNT ABNORMAL,FALSE
VOLUME BLOOD INCREASED,36316477,VOLUME BLOOD INCREASED,FALSE
VOLUME BLOOD DECREASED,36316476,VOLUME BLOOD DECREASED,FALSE
DRUG EFFECT PROLONGED,35809326,DRUG EFFECT PROLONGED,FALSE
VENTRICULAR HYPERTROPHY,35205348,VENTRICULAR HYPERTROPHY,FALSE
PANCREATOGRAPHY,36312737,PANCREATOGRAPHY,FALSE
HYPERNATRAEMIA,36416599,HYPERNATRAEMIA,FALSE
MONOPARESIS,36718233,MONOPARESIS,FALSE
FAECAL VOLUME DECREASED,35708143,FAECAL VOLUME DECREASED,FALSE
CAPILLARY FRAGILITY,37320331,CAPILLARY FRAGILITY,FALSE
WALKING DISABILITY,37420550,WALKING DISABILITY,FALSE
PHOTOREFRACTIVE KERATECTOMY,37520846,PHOTOREFRACTIVE KERATECTOMY,FALSE
GASTROENTEROPANCREATIC NEUROENDOCRINE TUMOUR DISEASE,788333,GASTROENTEROPANCREATIC NEUROENDOCRINE TUMOUR DISEASE,TRUE
PCO2 DECREASED,36314123,PCO2 DECREASED,FALSE
WRONG TECHNIQUE IN DRUG USAGE PROCESS,36211475,WRONG TECHNIQUE IN DRUG USAGE PROCESS,FALSE
CHORDOMA,36517031,CHORDOMA,TRUE
HAEMORRHAGIC OVARIAN CYST,36617535,HAEMORRHAGIC OVARIAN CYST,FALSE
ANORECTAL SWELLING,45885370,ANORECTAL SWELLING,FALSE
HODGKIN'S DISEASE MIXED CELLULARITY STAGE UNSPECIFIED,35104444,HODGKIN'S DISEASE MIXED CELLULARITY STAGE UNSPECIFIED,TRUE
BLOOD SODIUM ABNORMAL,36316390,BLOOD SODIUM ABNORMAL,FALSE
CONGENITAL TOXOPLASMOSIS,35305753,CONGENITAL TOXOPLASMOSIS,FALSE
ANGIOSARCOMA RECURRENT,36617258,ANGIOSARCOMA RECURRENT,TRUE
INCREASED VISCOSITY OF NASAL SECRETION,42890329,INCREASED VISCOSITY OF NASAL SECRETION,FALSE
TESTICULAR GERM CELL TUMOUR MIXED,43054081,TESTICULAR GERM CELL TUMOUR MIXED,TRUE
METASTASES TO CHEST WALL,36517077,METASTASES TO CHEST WALL,TRUE
METASTASES TO MUSCLE,36517078,METASTASES TO MUSCLE,TRUE
SERUM SICKNESS,36009722,SERUM SICKNESS,FALSE
TUBERCULOSIS OF CENTRAL NERVOUS SYSTEM,36110784,TUBERCULOSIS OF CENTRAL NERVOUS SYSTEM,FALSE
DELUSION OF REPLACEMENT,36918971,DELUSION OF REPLACEMENT,FALSE
PERIPHERAL ENDARTERECTOMY,42890812,PERIPHERAL ENDARTERECTOMY,FALSE
DESMOID TUMOUR,36517008,DESMOID TUMOUR,TRUE
STREPTOCOCCUS TEST,42890090,STREPTOCOCCUS TEST,FALSE
VENA CAVA INJURY,36211210,VENA CAVA INJURY,FALSE
SYNOVIAL DISORDER,36517124,SYNOVIAL DISORDER,FALSE
ILEECTOMY,37521101,ILEECTOMY,FALSE
CARTILAGE OPERATION,37521902,CARTILAGE OPERATION,FALSE
LUNG CARCINOMA CELL TYPE UNSPECIFIED STAGE I,36617889,LUNG CARCINOMA CELL TYPE UNSPECIFIED STAGE I,TRUE
HISTAMINE ABNORMAL,36315393,HISTAMINE ABNORMAL,FALSE
ACUTE CHEST SYNDROME,35104266,ACUTE CHEST SYNDROME,FALSE
LARGE INTESTINAL OBSTRUCTION,35708254,LARGE INTESTINAL OBSTRUCTION,FALSE
MYCOBACTERIUM TEST POSITIVE,42890120,MYCOBACTERIUM TEST POSITIVE,FALSE
PSYCHOLOGICAL ABUSE,37420488,PSYCHOLOGICAL ABUSE,FALSE
FACTITIOUS DISORDER,36919218,FACTITIOUS DISORDER,FALSE
MALIGNANT NEOPLASM OF PLEURA,36617895,MALIGNANT NEOPLASM OF PLEURA,TRUE
REFLEXES ABNORMAL,36718279,REFLEXES ABNORMAL,FALSE
RAOULTELLA ORNITHINOLYTICA INFECTION,42889528,RAOULTELLA ORNITHINOLYTICA INFECTION,FALSE
PULMONARY ARTERY STENOSIS,37219879,PULMONARY ARTERY STENOSIS,FALSE
HEPATITIS B VIRUS TEST POSITIVE,42889928,HEPATITIS B VIRUS TEST POSITIVE,FALSE
PHARYNGEAL MASS,37220051,PHARYNGEAL MASS,TRUE
CANCER IN REMISSION,36617291,CANCER IN REMISSION,TRUE
CENTRAL NERVOUS SYSTEM LEUKAEMIA,36617378,CENTRAL NERVOUS SYSTEM LEUKAEMIA,TRUE
CARDIAC HYPERTROPHY,35205310,CARDIAC HYPERTROPHY,FALSE
CRYSTAL ARTHROPATHY,36416669,CRYSTAL ARTHROPATHY,FALSE
PHYSICAL FITNESS TRAINING,37522231,PHYSICAL FITNESS TRAINING,FALSE
BURKHOLDERIA CEPACIA COMPLEX INFECTION,42889517,BURKHOLDERIA CEPACIA COMPLEX INFECTION,FALSE
ABNORMAL WEIGHT GAIN,36416524,ABNORMAL WEIGHT GAIN,FALSE
MULTIPLE CONGENITAL ABNORMALITIES,35305512,MULTIPLE CONGENITAL ABNORMALITIES,FALSE
MESENTERIC ABSCESS,42889247,MESENTERIC ABSCESS,FALSE
BLOOD MAGNESIUM ABNORMAL,36316370,BLOOD MAGNESIUM ABNORMAL,FALSE
AURICULOTEMPORAL SYNDROME,35708695,AURICULOTEMPORAL SYNDROME,FALSE
PARASITIC INFECTION PROPHYLAXIS,37522073,PARASITIC INFECTION PROPHYLAXIS,FALSE
CORTICAL DYSPLASIA,42889078,CORTICAL DYSPLASIA,FALSE
COPROLALIA,36718417,COPROLALIA,FALSE
LITHOTRIPSY,37522199,LITHOTRIPSY,FALSE
POST PROCEDURAL CONSTIPATION,35708113,POST PROCEDURAL CONSTIPATION,FALSE
OVARIAN HYPERSTIMULATION SYNDROME,35506593,OVARIAN HYPERSTIMULATION SYNDROME,FALSE
TUBERCULOSIS GASTROINTESTINAL,35707981,TUBERCULOSIS GASTROINTESTINAL,FALSE
TRACHEO-OESOPHAGEAL FISTULA,35306234,TRACHEO-OESOPHAGEAL FISTULA,FALSE
RETINAL TEAR,35607378,RETINAL TEAR,FALSE
OSTEOPATHIC TREATMENT,37520612,OSTEOPATHIC TREATMENT,FALSE
VICTIM OF SEXUAL ABUSE,37420473,VICTIM OF SEXUAL ABUSE,FALSE
ABORTION MISSED,36818632,ABORTION MISSED,FALSE
CYST REMOVAL,37522138,CYST REMOVAL,FALSE
T-CELL LYMPHOMA STAGE IV,35104596,T-CELL LYMPHOMA STAGE IV,TRUE
VITAMIN B6 ABNORMAL,36314354,VITAMIN B6 ABNORMAL,FALSE
PERITONSILLAR ABSCESS,36110698,PERITONSILLAR ABSCESS,FALSE
OVULATION PAIN,37119567,OVULATION PAIN,FALSE
SLEEP ATTACKS,36919206,SLEEP ATTACKS,FALSE
LACTOBACILLUS INFECTION,36110045,LACTOBACILLUS INFECTION,FALSE
MYCOPLASMA TEST POSITIVE,42890067,MYCOPLASMA TEST POSITIVE,FALSE
ROSAI-DORFMAN SYNDROME,35104241,ROSAI-DORFMAN SYNDROME,FALSE
GASTRIC BANDING,37520969,GASTRIC BANDING,FALSE
POSTURING,36718212,POSTURING,FALSE
MALIGNANT ANORECTAL NEOPLASM,35708408,MALIGNANT ANORECTAL NEOPLASM,TRUE
ALCOHOL REHABILITATION,37521687,ALCOHOL REHABILITATION,FALSE
HAND FRACTURE,36211131,HAND FRACTURE,FALSE
ACTINIC CHEILITIS,42889272,ACTINIC CHEILITIS,FALSE
BED BUG INFESTATION,36110311,BED BUG INFESTATION,FALSE
GENITOURINARY TRACT NEOPLASM,36617528,GENITOURINARY TRACT NEOPLASM,TRUE
X-RAY ABNORMAL,36313950,X-RAY ABNORMAL,FALSE
FOLLICLE STIMULATING HORMONE DEFICIENCY,42889111,FOLLICLE STIMULATING HORMONE DEFICIENCY,FALSE
SENSATION OF FOREIGN BODY,35809094,SENSATION OF FOREIGN BODY,FALSE
INTERFERON ALPHA LEVEL INCREASED,36313775,INTERFERON ALPHA LEVEL INCREASED,FALSE
GALLBLADDER CANCER METASTATIC,35909656,GALLBLADDER CANCER METASTATIC,TRUE
